,wordnet_entry,translation,status,phrase
161,somero_PN,سوميرو,google-translated,
162,south_normantown_PN,جنوب نورمانتاون,google-translated,1
163,sq_PN,مربع,google-translated,
164,sr_PN,ريال سعودى,unknown,
165,st_PN,شارع,unknown,
166,st_andrews_major_PN,سانت أندروز ميجور,google-translated,1
167,sta_PN,ستا,unknown,
168,std_2_PN,الأمراض المنقولة جنسيا,unknown,
169,stentor_2_PN,ستينتور,google-translated,
170,stuart_2_PN,ستيوارت,google-translated,
171,swanley_PN,سوانلي,google-translated,
172,tammany_PN,تاماني,google-translated,
173,terr_PN,تير,google-translated,
174,tin_pan_alley_PN,زقاق تين بان,google-translated,1
175,tzupo_PN,تزوبو,google-translated,
176,un_PN,الأمم المتحدة,google-translated,1
177,upu_PN,يو بي يو,unknown,
178,uss_PN,يو اس اس,google-translated,1
179,vanessa_PN,فانيسا,google-translated,
180,vinkkilä_PN,فينكيلا,google-translated,
181,vso_PN,فسو,unknown,
182,wall_street_2_PN,وول ستريت,google-translated,1
183,wally_PN,والي,google-translated,
184,whitehall_2_PN,وايتهول,google-translated,
185,wilderness_2_PN,البرية,unknown,
186,wimbourne_minster_PN,ويمبورن مينستر,google-translated,1
187,world_bank_PN,البنك الدولي,manual,1
188,wto_PN,منظمة التجارة العالمية,google-translated,1
189,wusih_PN,ووسيه,unkown,
0,abe_PN,إبراهيم,translated,
1,abraham_PN,إِبْراهِيم,translated,
2,acheron_PN,أشيرون,translated,
3,achilles_PN,آخيل,translated,
4,acre_2_PN,أكري,translated,
5,ad_PN,جحيم,translated,
6,adam_1_PN,آدَم,translated,
7,adam_3_PN,آدم,translated,
8,adonis_PN,أدونيس,translated,
9,adrian_1_PN,هادريان,translated,
10,al_1_PN,ألومِنْيُوم,translated,
11,alaska_PN,ألاسكا,translated,
12,alexander_PN,الإسكندر,translated,
13,ali_2_PN,عَلِيّ,translated,
14,allah_PN,الله,translated,
15,amazon_1_PN,أمازون,translated,
16,andrew_PN,اندراوس,translated,
17,andromeda_3_PN,المرأة المسلسلة,translated,1
18,andromeda_4_PN,المرأة المسلسلة,translated,1
19,anguilla_2_PN,أنغيلا,translated,
20,angus_1_PN,أنجوس,translated,
21,angus_2_PN,أنجوس,translated,
22,anthony_1_PN,أنتوني,translated,
23,antony_PN,أنتوني,translated,
24,apple_PN,آبل,manual,
25,apr_PN,أبْرِيل,translated,
26,apsu_PN,أبزو,translated,
27,aquarius_2_PN,دلو,translated,
28,aquarius_3_PN,الدلو,translated,
29,archer_PN,القوس,translated,
30,argentina_2_PN,الأرجنتين,translated,
31,argus_PN,آرغوس,translated,
32,aries_2_PN,حمل,translated,
33,aries_3_PN,بُرْج الحمْل,translated,1
34,arizona_1_PN,أريزونا,translated,
35,arizona_2_PN,أريزونا,translated,
36,armageddon_1_PN,أرمجدون,translated,
37,armageddon_2_PN,أرمجدون,translated,
38,at_1_PN,أستاتين,translated,
39,atlanta_2_PN,أتلانتا,manual,
40,atlas_PN,أطلس,translated,
41,aug_PN,أغسطس,manual,
42,auld_lang_syne_PN,نشيد الوداع,translated,1
43,aurora_PN,أورورا,manual,
44,avignon_PN,أفينيون,translated,
45,ba_1_PN,البارْيوم,translated,
46,babel_PN,بابل,translated,
47,balance_PN,برج الميزان,translated,1
48,basic_PN,بيسيك,translated,
49,basil_PN,فاسيلي,translated,
50,bast_3_PN,باستيت,translated,
51,battle_of_cynoscephalae_PN,معركة كينوسكيفالاي,translated,1
52,battle_of_the_philippine_sea_PN,معركة بحر الفلبين,translated,1
53,benjamin_PN,بِنْيَامِين,translated,
54,bikini_1_PN,بيكيني,translated,
55,bolivar_2_PN,بوليفار,translated,
56,bourne_2_PN,هدف,translated,
57,boxing_day_PN,يوم البُوكْسِينْج,translated,1
58,bremen_PN,بريمن,translated,
59,bremerhaven_PN,بريمرهافن,translated,
60,bridget_PN,بريدجيت,translated,
61,brown_4_PN,بْرَاوْن,translated,
62,bull_PN,الثور,translated,
63,c_PN,سي,translated,
64,california_PN,كاليفورنيا,translated,
65,calliope_1_PN,كاليوبي,translated,
66,calypso_PN,كاليبسو,translated,
67,cancer_3_PN,السرطان,translated,
68,cancer_4_PN,برج السرطان,translated,1
69,cancer_5_PN,سلطعون,translated,
70,capital_7_PN,رأس المال,translated,1
71,capricorn_2_PN,الجدي,translated,
72,capricorn_3_PN,برج الجدي,translated,1
73,carina_PN,الجؤجؤ,translated,
74,castor_PN,رأس التوأم المقدم,translated,1
75,centaur_PN,قِنْطُورَس,translated,
76,central_america_2_PN,أمريكا الوسطى,translated,1
77,cf_1_PN,كاليفورنيوم,translated,
78,cf_2_PN,تليف كيسي,translated,1
79,chaldaea_1_PN,"كلدو ",translated,
80,chaldaea_2_PN,"كلدو ",translated,
81,chameleon_PN,كوكبة الحرباء,translated,1
82,chaos_3_PN,كاوس,translated,
83,charioteer_PN,ممسك الأعنة,translated,
84,charybdis_PN,خاريبديس,translated,
85,cheddar_1_PN,شِيدَر,translated,
86,chesterfield_1_PN,تشيسترفيلد,translated,
87,chicago_2_PN,شيكاغو,translated,
88,christ_1_PN,مسيح,translated,
89,chunnel_PN,المانش,translated,
90,cia_PN,وكالة المخابرات المركزية,translated,1
91,cicero_2_PN,شيشرون,translated,
92,cinderella_PN,سندريلا,translated,
93,citation_PN,اِقْتِبَاس,translated,
94,co_2_PN,كوبالت,translated,
95,co_4_PN,كولورادو,translated,
96,cobol_PN,كوبول,translated,
97,colorado_1_PN,كولورادو,translated,
98,constance_1_PN,كونستانس,translated,
99,constance_2_PN,كونستانس,translated,
100,constitution_PN,كونستيتيوشن,translated,
101,corp_PN,شَرِكَة,translated,
102,coventry_1_PN,نَفْي,translated,
103,crab_PN,السرطان,translated,
104,crane_3_PN,الكركي,translated,
105,crater_PN,الباطية,translated,
106,croesus_1_PN,كرويسوس,translated,
107,croesus_2_PN,قارُون,translated,
108,crow_PN,الغراب,translated,
109,crux_PN,صليب جنوبي,translated,1
110,cupid_1_PN,كيوبيد,translated,
111,cynthia_PN,آرتميس,translated,
112,d_day_PN,يوم البدء,translated,1
113,dagan_PN,داجون,translated,
114,damocles_PN,دموقليس,translated,
115,daniel_1_PN,دانيال,translated,
116,daniel_2_PN,دانيال,translated,
117,daniel_3_PN,دانيال,translated,
118,daphne_PN,دافني,translated,
119,dartmouth_PN,دارتموث,translated,
120,david_1_PN,داود,translated,
121,david_3_PN,داود,translated,
122,dec_1_PN,دِيسِمبر,translated,
123,dec_2_PN,صَرْف,translated,
124,diana_2_PN,ديانا,translated,
125,dipper_3_PN,محراث,translated,
126,dominic_PN,دومينيكا,translated,
127,doomsday_1_PN,يوم القيامة,translated,1
128,doomsday_2_PN,الآخرة,translated,
129,dortmund_PN,دورتموند,translated,
130,dove_PN,الحمامة,translated,
131,downing_street_2_PN,داوننغ ستريت,translated,1
132,dragon_PN,تنين,translated,
133,drogheda_PN,دروهيدا,translated,
134,dunkirk_2_PN,دونكيرك,translated,
135,durham_2_PN,دورهام,translated,
136,ea_PN,إنكي,translated,
137,easter_PN,عيد الفصح,translated,1
138,echo_PN,إيكو,translated,
139,eden_1_PN,جنّة عدْن,translated,1
140,eden_2_PN,جنّة عدْن,translated,
141,el_dorado_PN,إلدورادو,translated,1
142,elysium_1_PN,إليزيوم,translated,
143,elysium_2_PN,إليزيوم,translated,
144,england_PN,إنجلترا,translated,
145,enoch_PN,خنوخ,translated,
146,eon_PN,الأمد,translated,
147,ereshkigal_PN,ارشكيجال,translated,
148,erin_PN,إيرين,translated,
149,esther_1_PN,أستير,translated,
150,esther_2_PN,أستير,translated,
151,eta_1_PN,إيتا,translated,
152,eurovision_PN,يُورُوفِيجْن,translated,
153,eve_PN,حوّاء,translated,
154,facebook_PN,فيسبوك,translated,
155,fbi_PN,مكْتب التّحْقِيقات الفِدْراليّ,translated,1
156,feb_PN,فبراير,translated,
157,ferrara_PN,فيرارا,translated,
158,fig_3_PN,تينة,translated,
159,fish_PN,الحوت,translated,
160,fm_2_PN,فرميوم,translated,
161,fr_PN,الجمعة,translated,
162,fri_PN,الجُمُعة,translated,
163,frs_PN,نظام الاحتياطي الفدرالي,translated,1
164,gb_1_PN,غيغابايت,translated,
165,gemini_2_PN,"التوأمان ",translated,
166,gemini_3_PN,برج الجوزاء,translated,1
167,george_1_PN,جُورْج,translated,
168,gmt_PN,غرِيْنِيتش,translated,
169,goat_PN,الجدي,translated,
170,god_1_PN,الله,translated,
171,goliath_1_PN,جالوت,translated,
172,gomorrah_PN,عُمُورَّة,translated,
173,google_PN,جوجل,translated,
174,grand_canyon_PN,غراند كانيون,translated,1
175,great_britain_2_PN,بريطانيا العظمى,translated,1
176,greece_2_PN,يونان,translated,
177,gregory_1_PN,غْرِيغُورِي,translated,
178,gulf_of_mexico_PN,خليج المكسيك,translated,1
179,hades_1_PN,هيدز,translated,
180,hades_2_PN,هيدز,translated,
181,ham_2_PN,حام,translated,
182,hamlet_PN,هاملت,translated,
183,hanover_2_PN,هانوفر,translated,
184,hastings_3_PN,هيستنغس,translated,
185,heaviside_PN,هيفسايد,translated,
186,helen_PN,هيلينا,translated,
187,hereford_PN,هيريفورد,translated,
188,hero_4_PN,هيرو السكندري,translated,1
189,heron_1_PN,بلشونيات,translated,
190,hogmanay_PN,رأس السنة الميلادية الأسكندلية,translated,1
191,hollywood_1_PN,هوليوود,translated,
192,hollywood_3_PN,هوليوود,translated,
193,homer_2_PN,هوميروس,translated,
194,horace_PN,هوراس,translated,
195,hum_2_PN,حركة المجاهدين,translated,1
196,hunter_PN,الجبار,translated,
197,hydra_1_PN,شجاع,translated,
198,hydra_2_PN,هِيدْرَا,translated,
199,hymen_1_PN,غِشَاء اَلْبَكَارَة,translated,1
200,id_1_PN,أيداهو,translated,
201,idaho_PN,أيداهو,translated,
202,ii_PN,2,translated,
203,in_2_PN,الإنديوم,translated,
204,interpol_PN,الإنتربول,translated,
205,ira_1_PN,جيش جمهوري ايرلندي,translated,1
206,isaac_PN,إسحاق,translated,
207,israel_2_PN,إسرائيل,translated,
208,jacob_2_PN,يعقوب,translated,
209,james_10_PN,يعقوب,translated,
210,james_7_PN,يعقوب,translated,
211,jan_PN,يَنَايِر,translated,
212,janus_PN,يانوس,translated,
213,jason_PN,ياسون,translated,
214,java_3_PN,جافا,translated,
215,jehovah_1_PN,يهوه,translated,
216,jehovah_2_PN,يهوه,translated,
217,jeremy_PN,إرميا,translated,
218,jeroboam_1_PN,يربعام,translated,
219,jerome_PN,جيروم,translated,
220,jersey_2_PN,جيرزي,translated,
221,jesus_PN,يسوع,translated,
222,jezebel_1_PN,إيزابل,translated,
223,job_12_PN,أيُّوب,translated,
224,job_9_PN,أيُّوب,translated,
225,john_3_PN,يوحنا,translated,
226,john_5_PN,يوحنا,translated,
227,johnny_PN,يوحنا,translated,
228,jonah_1_PN,يونس,translated,
229,joseph_1_PN,يُوسُف,translated,
230,joseph_2_PN,يُوسُف,translated,
231,joseph_3_PN,يُوسُف,translated,
232,josephine_PN,جوزفين,translated,
233,joshua_1_PN,يشوع,translated,
234,joshua_2_PN,يشوع,translated,
235,jove_PN,المشتري,translated,
236,judas_1_PN,يهوذا,translated,
237,judas_2_PN,يهوذا,translated,
238,judith_2_PN,سفر يهوديت,translated,
239,julian_PN,يوليان,translated,
240,jupiter_1_PN,المشتري,translated,
241,jupiter_2_PN,المشتري,translated,
242,katowice_PN,كاتوفيتسه,translated,
243,kentucky_PN,كنتاكي,translated,
244,kingmaker_1_PN,صانع الملوك,translated,1
245,kobe_PN,كوبه,translated,
246,korea_PN,كوريا,translated,
247,kremlin_1_PN,كرملين,translated,
248,kuru_PN,كورو,translated,
249,lammas_PN,يوم قداس الرغيف,translated,1
250,lancing_PN,لانسنغ,translated,
251,lawrence_1_PN,لورانس,translated,
252,lazarus_1_PN,لعازر,translated,
253,lent_PN,الصوم الكبير,translated,
254,leo_2_PN,الأسد,translated,
255,leo_3_PN,برج الأسد,translated,
256,let_1_PN,لشكر طيبه,translated,1
257,lethe_PN,ليث,translated,
258,levant_1_PN,الشام,translated,
259,libra_2_PN,الميزان,translated,
260,libra_3_PN,الميزان,translated,
261,lincoln_3_PN,لينكون,translated,
262,lion_4_PN,الأسد,translated,
263,lisp_2_PN,ليسب,translated,
264,lot_PN,لوط,translated,
265,lucifer_1_PN,لوسيفر,translated,
266,lucknow_2_PN,لَكْنُو,translated,
267,lucy_PN,لوسي,translated,
268,luke_1_PN,لوقا,translated,
269,luke_2_PN,لوقا,translated,
270,lupus_2_PN,السبع,translated,
271,lynx_PN,لنكس,translated,
272,lyons_2_PN,ليون,translated,
273,lyons_3_PN,ليون,translated,
274,madeira_2_PN,ماديرا,translated,
275,magenta_2_PN,معركة ماجنتا,translated,
276,malacca_2_PN,ملقا,translated,
277,manhattan_2_PN,مانهاتن,translated,
278,mar_1_PN,مارس,translated,
279,mar_2_PN,خَلَل,translated,
280,marathon_3_PN,ماراثون,translated,
281,mark_12_PN,مَارْك,translated,
282,mark_8_PN,مَارْك,translated,
283,mars_1_PN,المريخ,translated,
284,mars_2_PN,المريخ,translated,
285,martin_1_PN,مِيكَال,translated,
286,mary_PN,مريم,translated,
287,matthew_1_PN,مَتَّى,translated,
288,matthew_2_PN,مَتَّى,translated,
289,maundy_thursday_PN,خميس العهد,translated,1
290,md_1_PN,مندلفيوم,translated,
291,mercury_2_PN,عطارد,translated,
292,mercury_3_PN,عطارد,translated,
293,methuselah_PN,متوشلخ,translated,
294,michael_PN,ميشال,translated,
295,michigan_3_PN,ميشيغان,translated,
296,microsoft_PN,مايكروسوفت,translated,
297,midway_2_PN,ميدواي,translated,
298,min_3_PN,مين,translated,
299,mo_2_PN,مولبدن,translated,
300,moloch_2_PN,بَهَمُوت,translated,
301,mon_1_PN,الإِثْنيْن,translated,
302,montana_PN,مونتانا,translated,
303,moron_2_PN,مورون,translated,
304,morpheus_PN,مورفيوس,translated,
305,mosaic_3_PN,موزاييك,translated,
306,mountain_ash_3_PN,مران تكساسي,translated,
307,mr_PN,الأستاذ,translated,
308,mrs_PN,السيدة,translated,
309,mt_1_PN,مايتنريوم,translated,
310,mt_3_PN,مونتانا,translated,
311,muhammad_2_PN,مُحمّد,translated,
312,namtar_PN,نمتار,translated,
313,naomi_PN,نعمي,translated,
314,narcissus_PN,نرجس,translated,
315,nasa_PN,ناسا,translated,
316,nato_PN,النّاتُو,translated,
317,nb_1_PN,نيوبيوم,translated,
318,nebuchadnezzar_1_PN,نبوخذ نصر,translated,1
319,nemesis_1_PN,نمسيس,translated,
320,neptune_1_PN,نِبتونِ,translated,
321,neptune_2_PN,نبتون,translated,
322,nergal_PN,نيرغال,translated,
323,ness_PN,بحيرة لوخ نيس,translated,1
324,nestor_PN,نيستر,translated,
325,nevada_PN,نيفادا,translated,
326,new_jersey_2_PN,نيوجيرزي,translated,
327,newfoundland_1_PN,نيوفندلاند,translated,
328,newmarket_PN,شيكاغو,translated,
329,nicholas_PN,نقولا,translated,
330,night_8_PN,ليلة,translated,
331,nimrod_PN,نمرود,translated,
332,ningal_PN,نينغال,translated,
333,niobe_PN,نيوبي,translated,
334,noah_PN,نُوح,translated,
335,nov_PN,نُوفمْبر,translated,
336,nut_PN,نوت,translated,
337,oceania_PN,أوقيانوسيا,translated,
338,oct_PN,أكْتُوبر,translated,
339,odyssey_2_PN,الأُودِيسة,translated,
340,oedipus_PN,أُودِيب,translated,
341,oklahoma_PN,أوكلاهوما,translated,
342,olympics_PN,ألعاب أولمبية,translated,1
343,opec_PN,أوبك,translated,
344,opera_2_PN,أوبرا,translated,
345,oregon_PN,أوريغون,translated,
346,orkney_PN,أوركاد,translated,
347,os_2_PN,أوزميوم,translated,
348,ottawa_2_PN,أوتاوا,translated,
349,oxbridge_PN,أوكسبريدج,translated,
350,p_PN,الفوسفور,translated,
351,pa_2_PN,البروتكتينيوم,translated,
352,pan_2_PN,بان,translated,
353,panacea_1_PN,باناسيا,translated,
354,paris_3_PN,باريس,translated,
355,pascal_3_PN,باسكال,translated,
356,patrick_PN,باتريك,translated,
357,paul_2_PN,بولس,translated,
358,pc_PN,حاسوب شخصي,translated,1
359,pearl_harbor_PN,بيرل هاربر,translated,1
360,penelope_PN,بينيلوبي,translated,
361,pennsylvania_3_PN,بنسيلفانيا,translated,
362,pentagon_1_PN,البنتاغون,translated,
363,peter_PN,بطرس,translated,
364,phoebe_2_PN,فويب,translated,
365,phoenix_4_PN,العنقاء,translated,
366,pisces_1_PN,الحوت,translated,
367,pisces_3_PN,الحوت,translated,
368,pisces_4_PN,الأسْماك,translated,
369,plough_PN,بنات نعش الكبرى,translated,
370,pluto_1_PN,بلوتو,translated,
371,pluto_2_PN,بلوتو,translated,
372,pluto_3_PN,بلوتو,translated,
373,po_1_PN,الخدمة البريدية للولايات المتحدة,translated,1
374,polaris_PN,نجم الشمال,translated,1
375,potsdam_PN,بوتسدام,translated,
376,pr_1_PN,البراسيوديميوم,translated,
377,prolog_PN,برولوغ,translated,
378,pt_PN,البلاتين,translated,
379,ptolemy_PN,بطليموس,translated,
380,pythoness_2_PN,بيثيا,translated,
381,pyxis_PN,بيت الإبرة,translated,
382,qed_PN,وهو المطلوب إثباته,translated,1
383,ra_1_PN,الراديوم,translated,1
384,rachel_PN,راحِيل,translated,
385,raf_1_PN,القوات الجوية الملكية البريطانية,translated,1
386,raf_2_PN,فصيل الجيش الأحمر,translated,1
387,ram_PN,بُرْج الحمْل,translated,1
388,rand_3_PN,ويتووترسراند,translated,
389,ravenna_PN,رافينا,translated,
390,re_1_PN,الرينيوم,translated,
391,re_2_PN,رع,translated,
392,rebecca_PN,رفقة,translated,
393,red_cross_PN,الصليب الأحمر,translated,1
394,reef_2_PN,ويتووترسراند,translated,
395,reticulum_PN,الشبكة,translated,
396,rhea_1_PN,ريا,translated,
397,rn_1_PN,رادون,translated,
398,roentgen_PN,رونتجن,translated,
399,rome_2_PN,روما,translated,
400,rosario_PN,روساريو,translated,
401,ruth_2_PN,راعوث,translated,
402,ruth_4_PN,راعوث,translated,
403,sabah_PN,صباح,translated,
404,sagitta_PN,السهم,translated,
405,sagittarius_2_PN,القوس,translated,
406,sagittarius_3_PN,القوس,translated,
407,sagittarius_4_PN,القوس,translated,
408,salerno_PN,ساليرنو,translated,
409,salt_PN,محادثات الحد من الأسلحة الاستراتيجية,translated,1
410,samuel_PN,صموئيل,translated,
411,san_bernardino_PN,سان بيرناردينو,translated,1
412,santa_claus_PN,بابا نويل,translated,1
413,santiago_4_PN,سانتياغو,translated,
414,sarah_PN,سارة,translated,
415,sarawak_PN,سراواك,translated,
416,sat_PN,السّبْت,translated,
417,satan_PN,الشيطان,translated,
418,saturn_1_PN,زحل,translated,
419,saturn_2_PN,زحل,translated,
420,savoy_1_PN,سافوا,translated,
421,scorpio_2_PN,العقرب,translated,
422,scorpio_3_PN,العقرب,translated,
423,scorpion_PN,العقرب,translated,
424,scotland_PN,إسكتلندا,translated,
425,scotland_yard_PN,سكوتلاند يارد,translated,1
426,sculptor_PN,النحات,translated,
427,scylla_PN,سكيلا,translated,
428,sept_PN,سبتمبر,translated,
429,set_PN,سِت,translated,
430,shetland_2_PN,اسكوتلاندا,translated,
431,shiva_2_PN,شيفا,translated,
432,silenus_2_PN,سلينوس,translated,
433,silvia_PN,الدُّخَّلَة,translated,
434,simon_1_PN,سِمْعَان,translated,
435,sin_4_PN,سين,translated,
436,snake_4_PN,الشجاع,translated,
437,sodom_2_PN,سَدُوم,translated,
438,sol_2_PN,شمس,translated,
439,solferino_2_PN,معركه سولفرينو,translated,1
440,solomon_PN,سُليمان,translated,
441,solon_PN,رَجُل دَوْلَة,translated,1
442,ss_1_PN,وحدات النخبة النازية,translated,1
443,ss_2_PN,"وحدات النخبة النازية ",translated,1
444,std_1_PN,الأمراض المنقولة جنسيًا,translated,
445,stuart_3_PN,ستيوارت,translated,
446,styx_PN,ستيكس,translated,
447,sun_PN,شمْس,translated,
448,sunderland_PN,سندرلاند,translated,
449,susanna_PN,سوزان,translated,
450,syracuse_3_PN,سيراقوسة,translated,
451,syracuse_4_PN,سيراقوسة,translated,
452,tabasco_1_PN,تاباسكو,translated,
453,tamale_1_PN,تامالي,translated,
454,taurus_1_PN,الثور,translated,
455,taurus_3_PN,طوُروس,translated,
456,taurus_4_PN,الثور,translated,
457,tb_1_PN,تيرابت,translated,
458,tel_PN,تل,translated,
459,tel_aviv_PN,تل أبيب,translated,
460,tewkesbury_PN,توكسبوري,translated,
461,thomas_5_PN,توما,translated,
462,tiamat_PN,تيامات,translated,
463,timothy_2_PN,تيموثاوس,translated,
464,titan_3_PN,تايتان,translated,
465,tl_PN,ثاليوم,translated,
466,toulon_PN,طولون,translated,
467,tours_PN,تور,translated,
468,town_PN,مدينة,translated,
469,trapezium_PN,تجمع المعين,translated,1
470,triangle_PN,المثلث,translated,
471,triton_1_PN,تريتون,translated,
472,triton_2_PN,تريتون,translated,
473,tues_PN,الثُلاثاء,translated,
474,tutu_1_PN,دسموند توتو,translated,1
475,twins_PN,الجوزاء,translated,
476,unesco_PN,اليُونِسْكُو,translated,
477,unicef_PN,اليونسيف,translated,
478,uranus_1_PN,أورانوس,translated,
479,uranus_2_PN,أورانوس,translated,
