,wordnet_entry,translation,status,phrase
68,columbus_SN,كولومبوس,google-translated,
69,constable_SN,كونستابل,,
70,cook_SN,كوك,,
71,cooper_SN,كوبر,google-translated,
72,cordoba_SN,قرطبة,google-translated,
73,coulomb_SN,كولومب,google-translated,
74,court_SN,كورت,,
75,coward_SN,كاوورد,guessed,
76,crane_SN,كرين,,
77,cres_SN,كريس,google-translated,
78,crick_SN,كريك,google-translated,
79,crosby_SN,كروسبي,google-translated,
80,cumberland_SN,كمبرلاند,google-translated,
81,cummings_SN,كامينغز,google-translated,
82,curie_SN,كوري,google-translated,
83,curl_SN,كوريل,guessed,
84,currie_SN,كوري,google-translated,
85,currier_SN,كورير,google-translated,
86,dalton_SN,دالتون,google-translated,
87,davey_SN,ديفي,google-translated,
88,day_SN,داي,,
89,dean_SN,دين,,
90,decker_SN,ديكر,google-translated,
91,devries_SN,ديفريز,google-translated,
92,dickens_SN,ديكنز,google-translated,
93,diesel_SN,ديزل,google-translated,
94,domesday_SN,دوميسْداي,,
95,domino_SN,دومينو,,
96,douglas_SN,دوغلاس,google-translated,
97,dowdy_SN,داوْدي,guessed,
98,down_SN,داوين,,
99,drake_SN,دريك,google-translated,
100,duncan_SN,دنكان,google-translated,
101,eccles_SN,اكليس,google-translated,
102,eddy_SN,إيدي,google-translated,
103,farmer_SN,فارمر,,
104,fielding_SN,فيلدينغ,google-translated,
105,firth_SN,فيرث,google-translated,
106,flinders_SN,فلندرز,google-translated,
107,ford_SN,فورد,,
108,forester_SN,فورستر,google-translated,
109,fowler_SN,فاولر,,
110,fox_SN,فوكس,google-translated,
111,france_SN,فِرانْس,,
112,franklin_SN,فرانكلين,google-translated,
113,freckleton_SN,فريكلتون,google-translated,
114,frost_SN,فروست,,
115,fry_SN,فراي,,
116,fuller_SN,فولر,,
117,funk_SN,فرَنْك,,
118,gable_SN,غابِل,,
119,gainsborough_SN,جينزبورو,google-translated,
120,gamma_SN,جاما,google-translated,
121,garibaldi_SN,غاريبالدي,google-translated,
122,garland_SN,جارلاند,google-translated,
123,garrison_SN,غاريسون,,
124,gauss_SN,غاوس,google-translated,
125,geiger_SN,جيجر,google-translated,
126,genet_SN,جينيت,google-translated,
127,gibbon_SN,جيبون,google-translated,
128,gilbert_SN,جيلبرت,google-translated,
129,goldsmith_SN,جولدسميث,google-translated,
130,gordon_SN,جوردون,google-translated,
131,gore_SN,جور,google-translated,
132,gorky_SN,غوركي,google-translated,
133,gram_SN,غرام,google-translated,
134,grant_SN,غرانت,,
135,grass_SN,غراس,,
136,green_SN,غرين,,
137,grey_SN,غراي,,
138,grinstead_SN,جرينستيد,google-translated,
139,guest_SN,جيسْت,,
140,guinness_SN,غينيس,google-translated,
141,hall_SN,هول,,
142,hamilton_SN,هاميلتون,google-translated,
143,harlow_SN,هارلو,google-translated,
144,hart_SN,هارت,google-translated,
145,hartley_SN,هارتلي,google-translated,
146,harvey_SN,هارفي,google-translated,
147,hastings_SN,هاستينغز,google-translated,
148,herder_SN,هردر,,
149,hertz_SN,هيرتز,google-translated,
150,hill_SN,هيل,,
151,hobson_SN,هوبسون,google-translated,
152,hogan_SN,هوجان,google-translated,
153,homer_SN,هوميروس,google-translated,
154,hooker_SN,هوكر,,
155,hoover_SN,هوفر,google-translated,
156,hope_SN,هوب,,
157,hosp_SN,مستشفى,google-translated,
158,houghton_SN,هوتون,google-translated,
159,houston_SN,هيوستن,google-translated,
160,howard_SN,هوارد,google-translated,
161,hull_SN,هال,google-translated,
162,hunt_SN,هَنْت,guessed,
163,indiana_SN,إنديانا,google-translated,
164,jacquard_SN,الجاكار,google-translated,
165,johnstone_SN,جونستون,google-translated,
166,joule_SN,جول,google-translated,
167,joyce_SN,جويس,google-translated,
168,kazan_SN,كازان,google-translated,
169,kelvin_SN,كلفن,google-translated,
170,kent_SN,كينت,google-translated,
171,kern_SN,كيرن,google-translated,
172,kettering_SN,كيترينج,google-translated,
173,key_SN,كي,guessed,
174,kid_SN,كيد,google-translated,
175,king_SN,كينغ,,
176,koski_SN,كوسكي,google-translated,
177,lamb_SN,لامب,,
178,lambert_SN,لامبرت,google-translated,
179,lancaster_SN,لانكستر,google-translated,
180,land_SN,لانْد,,
181,landau_SN,لانداو,google-translated,
182,langley_SN,لانجلي,google-translated,
183,lasso_SN,لاسو,google-translated,
184,laurel_SN,لوريل,,
185,laver_SN,لافير,,
186,lawrence_SN,لورانس,google-translated,
187,lee_SN,لي,google-translated,
188,leigh_SN,لي,google-translated,
189,leonard_SN,ليونارد,google-translated,
190,lewis_SN,لويس,google-translated,
191,lie_SN,لاي,,
192,lincoln_SN,لينكولن,google-translated,
193,lister_SN,ليستر,,
194,livingston_SN,ليفينغستون,google-translated,
195,lodge_SN,لودج,,
196,london_SN,لندن,google-translated,
197,low_SN,لُو,,
198,mach_SN,ماخ,google-translated,
199,mailer_SN,مايلر,google-translated,
200,major_SN,ميجور,google-translated,
201,mansfield_SN,مانسفيلد,google-translated,
202,mantle_SN,مانتل,google-translated,
203,marquis_SN,ماركيز,google-translated,
204,marsh_SN,ماش,,
205,marshal_SN,مارشال,google-translated,
206,martin_SN,مارتن,google-translated,
207,mason_SN,ميسون,google-translated,
208,maxwell_SN,ماكسويل,google-translated,
209,mead_SN,ميد,google-translated,
210,meany_SN,ميني,,
211,mercer_SN,ميرسر,google-translated,
212,merman_SN,ميرمان,google-translated,
213,merton_SN,ميرتون,google-translated,
214,middleton_SN,ميدلتون,google-translated,
215,mill_SN,ميل,,
216,miller_SN,ميلر,google-translated,
217,millet_SN,ميليت,,
218,miro_SN,ميرو,google-translated,
219,monk_SN,مونْك,,
220,more_SN,موور,,
221,morgan_SN,مورغان,google-translated,
222,morley_SN,مورلي,google-translated,
223,morse_SN,مورس,google-translated,
224,motherwell_SN,مذرويل,google-translated,
225,muhammad_SN,محمد,google-translated,
226,muller_SN,مولر,google-translated,
227,munch_SN,مونش,,
228,nation_SN,نيشَن,guessed,
229,nelson_SN,نيلسون,google-translated,
230,newton_SN,نيوتن,google-translated,
231,nightingale_SN,العندليب,google-translated,
232,nissen_SN,نيسن,google-translated,
233,nobel_SN,نوبل,google-translated,
234,norman_SN,نورمان,google-translated,
235,norton_SN,نورتون,google-translated,
236,offenbach_SN,أوفنباخ,google-translated,
237,ohm_SN,أوم,google-translated,
238,oldenburg_SN,أولدنبورغ,google-translated,
239,oliver_SN,أوليفر,google-translated,
240,oswald_SN,أوزوالد,google-translated,
241,page_SN,بيغ,,
242,palmer_SN,بالمر,google-translated,
243,park_SN,حديقة,google-translated,
244,parr_SN,بار,google-translated,
245,pascal_SN,باسكال,google-translated,
246,peel_SN,بيل,,
247,percy_SN,بيرسي,google-translated,
248,perry_SN,بيري,google-translated,
249,piston_SN,بيستون,google-translated,
250,pitman_SN,بيتمان,google-translated,
251,pollack_SN,بولاك,google-translated,
252,polo_SN,بولو,google-translated,
253,pons_SN,بونس,google-translated,
254,pope_SN,بوب,,
255,popper_SN,بوبر,google-translated,
256,porter_SN,بورتر,,
257,post_SN,بوست,,
258,pound_SN,باوند,google-translated,
259,powys_SN,بوويز,google-translated,
260,price_SN,برايس,guessed,
261,pyle_SN,بايل,google-translated,
262,rand_SN,راند,google-translated,
263,reed_SN,ريد,,
264,reich_SN,رايخ,google-translated,
265,revers_SN,ريفير,,
266,rhine_SN,الراين,google-translated,
267,rice_SN,رايِس,guessed,
268,ritz_SN,ريتز,google-translated,
269,robert_SN,روبرت,google-translated,
270,rock_SN,روك,,
271,rouen_SN,روان,google-translated,
272,rush_SN,راش,,
273,ruth_SN,روث,google-translated,
274,rutherford_SN,رذرفورد,google-translated,
275,sabin_SN,سابين,google-translated,
276,sand_SN,ساند,,
277,sax_SN,ساكس,google-translated,
278,scribe_SN,إسكرايب,,
279,seaman_SN,سيمان,,
280,selkirk_SN,سيلكيرك,google-translated,
281,service_SN,سرفيس,,
282,sexton_SN,ساكسون,,
283,shearer_SN,شيرر,google-translated,
284,singer_SN,مغني,google-translated,
285,sitter_SN,سيتر,,
286,skinner_SN,سكينر,google-translated,
287,smith_SN,سِميث,,
288,snow_SN,سنِو,,
289,spark_SN,إسبارك,,
290,spencer_SN,سِبنسر,,
291,spender_SN,إسبندر,,
292,stanford_SN,ستانفورد,google-translated,
293,stanley_SN,ستانلي,google-translated,
294,stern_SN,إستيرن,,
295,stewart_SN,ستيوارت,google-translated,
296,stoker_SN,إستوكر,,
297,stone_SN,إستون,,
298,street_SN,إسْتِريت,,
299,stuart_SN,ستيوارت,google-translated,
300,suckling_SN,ساكلينغ,,
301,sutton_SN,ساتون,google-translated,
302,sweet_SN,سُوويِت,,
303,swift_SN,سويفت,google-translated,
304,teller_SN,تيلر,google-translated,
305,tesla_SN,تسلا,google-translated,
306,thatch_SN,ثاتش,google-translated,
307,thatcher_SN,تاتشر,google-translated,
308,tracy_SN,تريسي,google-translated,
309,tree_SN,تري,google-translated,
310,trilby_SN,تريلبي,google-translated,
311,truth_SN,تروث,google-translated,
312,tucker_SN,تاكر,google-translated,
313,turner_SN,تيرنر,google-translated,
314,usher_SN,أُوشر,,
315,vancouver_SN,فانكوفر,google-translated,
316,venturi_SN,فنتوري,google-translated,
317,vigo_SN,فيجو,google-translated,
318,villa_SN,فيلا,google-translated,
319,viz_SN,فيز,,
320,wain_SN,وين,google-translated,
321,walker_SN,ووكر,google-translated,
322,wallace_SN,والاس,google-translated,
323,walsham_SN,والشام,google-translated,
324,walter_SN,والتر,google-translated,
325,walton_SN,والتون,google-translated,
326,ward_SN,والْد,google-translated,
327,warner_SN,وارنر,google-translated,
328,warren_SN,وارن,google-translated,
329,washington_SN,واشنطن,google-translated,
330,watt_SN,وات,google-translated,
331,wayne_SN,واين,google-translated,
332,weber_SN,ويبر,google-translated,
333,weld_SN,ويلد,,
334,wellington_SN,ويلينغتون,google-translated,
335,wells_SN,ويلز,,
336,west_SN,ويست,,
337,wheeler_SN,ويلر,google-translated,
338,whistler_SN,ويسلر,google-translated,
339,white_SN,وايت,,
340,whitehead_SN,وايتهيد,google-translated,
341,wise_SN,وايز,,
342,wolf_SN,وولف,,
343,wood_SN,وود,,
344,worcester_SN,ووستر,google-translated,
345,worth_SN,وورث,,
346,wren_SN,النمنمة,google-translated,
347,wright_SN,رايت,google-translated,
348,young_SN,يونغ,,
349,zeppelin_SN,زيبلين,,
0,north_SN,نُورْث,translated,
