li	ar	en
23403	اِسْتِبْدادِيّة	dictatorship_N
23672	دينار	dinar_1_N
23674	دينار	dinar_3_N
23676	دينار	dinar_5_N
23677	دينار	dinar_6_N
23678	دينار	dinar_7_N
23679	دينار	dinar_8_N
23680	دينار	dinar_9_N
23700	الدنكا	dinka_N
23841	درهم	dirham_2_N
23842	درهم	dirham_3_N
24739	توْزِيع	distribution_1_N
24968	دوبرا	dobra_N
25153	داخلى	domestic_1_A
25221	دونغ	dong_N
25616	دِرَاخْمَا	dram_3_N
25903	ماء شُرْب	drinking_water_N
26444	هولندي	dutch_N
26652	شرق	east_4_N
26672	شرقي	eastern_4_A
26809	اِقْتِصاد	economy_1_N
26908	تعْلِيم	education_1_N
27526	إمْبرَاطُور	emperor_1_N
27908	الإنجليزية	english_N
28346	مُساواة	equality_1_N
28591	إسكودو	escudo_2_N
28605	إسبرانتو	esperanto_N
28701	الإستونية	estonian_N
28920	اللغة الإيفينكية	evenki_N
29008	الإيوي	ewe_2_N
29849	أقصى	extreme_1_A
30382	الفانج	fang_1_N
30473	لغة فاروية	faroese_N
30578	وَالِد	father_1_N
30774	فيدرالي	federal_4_A
31014	معدل المواليد	fertility_1_N
31259	الفيجية	fijian_2_N
31301	الفلبينية	filipino_2_N
31526	الفنلندية	finnish_N
31611	حطب	firewood_N
31802	علم	flag_1_N
32046	خَلَل	flaw_3_N
32088	الفلمنكية	flemish_2_N
32346	دقِيق	flour_N
32713	تَالٍ	following_2_A
32745	طعام	food_1_N
33056	فورنت مجري	forint_N
33131	سابق	former_3_A
33148	صيغ	formula_6_N
33346	الثعلب	fox_7_N
33517	حُرّ	free_1_A
33550	حُرِّيّة	freedom_1_N
33608	فرنسية	french_N
33771	الفريلايان	friulian_N
33954	الفلة	fula_N
33969	ممتلئ	full_3_A
34364	الجاليكية	galician_N
34588	لِباس	garment_N
35013	الجورجية	georgian_3_N
35035	المانية	german_N
35299	الكيكيو	gikuyu_N
36039	الجندي	gondi_N
36190	غورد	gourde_N
36204	حُكُومة	government_1_N
36614	يونانية	greek_N
36845	إجْمالي	gross_1_A
36971	زِيَادَة	growth_3_N
37036	الجواراني	guarani_1_N
37038	الجوارانى	guarani_3_N
37162	الغوجاراتية	gujarati_N
37456	الهيدا	haida_N
37510	الهايتية	haitian_creole_N
37517	الهاكا	hakka_N
37529	معافى	haler_2_N
37815	هاني	hani_N
38139	الهوسا	hausa_N
38154	ملك	have_1_V2
38181	لغة أهل الهاواي	hawaiian_N
38268	شيْخ	head_4_N
38361	رعاية صحية	healthcare_2_N
38877	موروث	hereditary_2_A
38885	الهيريرو	herero_N
39030	هيداتسا	hidatsa_N
39071	عال	high_1_A
39182	هندية	hindi_N
39870	هوبي	hopi_N
40068	فُنْدُق	hotel_N
40174	هْرِيفْنَا	hryvnia_N
40241	بشر	human_N
40345	الهنغارية	hungarian_2_N
40389	الهبا	hupa_N
40482	هجن	hybrid_A
40751	الآيسلندية	icelandic_N
41860	دخْل	income_N
42126	دَلِيل	index_2_N
42239	شَخْصي	individual_4_A
42266	الإندونيسية	indonesian_2_N
42375	تفاوت	inequality_N
42549	تضخُّم	inflation_1_N
42667	لغة أنغرية	ingrian_N
42677	مُواطِن	inhabitant_1_N
43995	الأيرلندية	irish_3_N
44149	الإسلام	islam_2_N
44151	إِسْلَامِيّ	islamic_A
44152	جزِيرة	island_1_N
44251	إيطالية	italian_N
44458	اليابانية	japanese_N
44494	الجاوية	javanese_2_N
45191	الكامبا	kamba_N
45209	الكانادا	kannada_N
45214	كانزاس	kansas_4_N
45229	الكارا-كالباك	karakalpak_N
45234	الكاريلية	karelian_N
45249	الكشميرية	kashmiri_2_N
45275	الكازاخستانية	kazakh_N
45473	خانتي	khanty_N
45476	الخميرية	khmer_1_N
45479	كهوار	khowar_N
45517	كيكابو	kickapoo_N
45585	كم	kilometre_1_N
45599	كينا	kina_N
45634	ملك	king_1_N
45689	الكينيارواندا	kinyarwanda_N
45692	كيب	kip_2_N
45916	كواساتي	koasati_N
45920	نيره	kobo_N
45929	كُولَا	kola_2_N
45935	الكومي	komi_N
45936	الكونغو	kongo_N
45948	الكورية	korean_2_N
45980	كورونا	krona_1_N
45981	كورونا	krona_2_N
45982	كورونا	krone_1_N
45983	كورونا	krone_2_N
46000	الكردية	kurdish_N
46019	كواشا	kwacha_1_N
46020	كواشا	kwacha_2_N
46022	كوانزا	kwanza_1_N
46028	كْيَات	kyat_N
46160	اللغة اللادنية	ladin_N
46389	لُغة	language_1_N
46424	اللاوية	lao_2_N
46486	كبِير	large_1_A
46515	لارى	lari_1_N
46677	لاتفي	latvian_N
46893	رئِيس	leader_1_N
47222	لمبيرا	lempira_N
47279	ليون	leone_N
47535	مكْتبة	library_1_N
48229	محو الأمية	literacy_N
48264	الليتوانية	lithuanian_N
48382	ليفونية	livonian_N
49027	مُنْخَفِض	low_1_A
49043	الألمانية السفلى	low_german_N
49237	اللو	luo_N
49424	المقدونية	macedonian_2_N
49871	الملايو	malay_2_N
49874	الماليالام	malayalam_N
49881	الملايو	malaysian_2_N
49959	شراب الشعير، جعة	malt_3_N
49969	المالطية	maltese_2_N
50046	مانات	manat_2_N
50050	المانشو	manchu_N
50059	يوسفي	mandarin_6_N
50206	مانسية	mansi_N
50268	الماورية	maori_2_N
50301	الماراثي	marathi_N
50338	مارغرين	margarine_N
50362	الماري	mari_N
51128	متوسط	median_3_A
51149	دواء	medication_1_N
51184	متوسط	medium_1_A
51347	عضو	member_4_N
51414	مينوميني	menominee_N
51716	متيكال	metical_N
51991	عسْكرِي	military_2_A
52677	معتدل	moderate_1_A
52704	اَللُّغَة اَلْيُونَانِيَّة اَلْحَدِيثَة	modern_greek_N
52772	الموهوك	mohawk_2_N
52869	الاثنين	mon_3_N
52883	ملكِيّة	monarchy_N
52922	المنغولية	mongolian_2_N
53331	أُمّ	mother_1_N
53939	مسلم	muslim_A
54142	الناهيوتل	nahuatl_N
54240	نانتيكوك	nanticoke_N
54456	اَلنَّافَاجُو	navajo_N
54713	لغات النينيتس	nenets_N
54745	النيبالية	nepali_N
55003	جرِيدة	newspaper_3_N
55027	لغة نجاناسان	nganasan_N
55497	شمالي	nordic_2_A
55534	شمال	north_3_N
55560	شمالي شرقي	northeast_1_N
55590	شمالي جنوبي	northwest_3_N
55608	النرويجية	norwegian_N
55976	النيامويزي	nyamwezi_N
55992	النينورسك النرويجي	nynorsk_N
56091	مَفْرُوض	obligatory_1_A
56264	الأوكيتانية	occitan_N
56470	مكتب	office_4_N
56486	رسْمِيّ	official_1_A
56488	رسمي	official_3_A
56748	لغة الأونيدا	oneida_N
57340	أُرْثُوذُكْسِيّ	orthodox_3_A
57363	الأوساج	osage_N
57478	أوقية	ouguiya_N
58112	بانجا تونجي	paanga_N
58889	برلماني	parliamentary_2_A
59070	بشتو	pashto_1_N
60135	دوْرِيّة	periodical_N
60262	الفارسية	persian_N
60390	بِيزُو	peso_1_N
60391	بِيزُو	peso_2_N
60392	بِيزُو	peso_3_N
60394	بِيزُو	peso_5_N
60395	بِيزُو	peso_6_N
60396	بِيزُو	peso_7_N
60397	بِيزُو	peso_8_N
61606	نبات	plant_2_N
62227	نُقْطَة	point_10_N
62400	بولندية	polish_4_N
62426	سِياسة	politics_2_N
62700	سُكّان، عدد السكان	population_1_N
62833	برتغالية	portuguese_1_N
62870	منصب، موقع	position_6_N
63043	بوتاواتومي	potawatomi_N
63125	جُنَيْه	pound_2_N
63129	جنيه	pound_4_N
63131	جنيه	pound_5_N
63133	جنيه	pound_6_N
63137	جنيه	pound_8_N
63205	بوهاتان	powhatan_N
63554	رائد	premier_2_N
63727	رئِيس	presidentFem_3_N
63733	رئِيس	presidentMasc_3_N
63737	رياسي	presidential_1_A
64005	رئِيس الوِزراء	prime_minister_2_N
64036	أمِير	prince_N
64287	إِنْتاج	product_2_N
65018	بروسي	prussian_N
65231	بولا	pula_N
66041	كيشوا	quechua_N
66045	مَلِكَة	queen_2_N
66110	كتزال	quetzal_1_N
66745	راند	rand_1_N
66789	وَضَعَ	rank_2_V2
66938	سِعْر	rate_2_N
66942	معدل	rate_4_N
67245	حَقِيقِيّ	real_2_N
68239	قَيِّم	regent_1_N
68244	حُكُومة، نطام	regime_1_N
68607	دِين	religion_2_N
68858	إِيجار	rental_2_N
69087	ممثل	representative_3_A
69144	جمهورية	republic_2_N
69267	احتياط	reserve_2_N
69589	أسْفر عن	result_in_V2
70094	ريال	rial_1_N
70095	ريال	rial_2_N
70406	رينغيت	ringgit_N
70581	ريال	riyal_1_N
70582	ريال	riyal_2_N
70842	الرومانية	romanian_N
70843	الرومانشية	romansh_N
70873	رون	ron_N
71269	روبل	ruble_2_N
71586	رُوبِيّة	rupee_1_N
71587	رُوبِيَّة	rupee_2_N
71588	رُوبِيَّة	rupee_3_N
71590	رُوبِيَّة	rupee_5_N
71591	رُوبِيَّة	rupee_6_N
71594	رُوبِيَّة	rupiah_N
71636	روسي	russian_N
72258	السانجو	sango_N
72275	السنسكريتية	sanskrit_N
72350	السردينية	sardinian_N
73048	الأسكتلندية	scots_N
73052	الإسكتلندية الغالية	scottish_gaelic_N
73961	السيلكب	selkup_N
74091	السنيكا	seneca_N
74321	صربوكرواتي	serbo_croat_N
74334	السرر	serer_N
74926	شريعة	shariah_1_N
75175	شلن	shilling_1_N
75176	شلن	shilling_2_N
75177	شلن	shilling_3_N
75178	شلن	shilling_4_N
75196	شينا	shina_N
75364	الشونا	shona_N
75568	عرض	show_2_V2
76171	السندية	sindhi_N
76244	السنهالية	sinhala_N
76399	سكاكيت	skagit_N
77059	السلوفاكية	slovak_2_N
77064	السلوفينية	slovenian_N
77882	سوكورو	sokoro_N
78028	سوم	som_1_N
78029	سوم	som_2_N
78036	الصومالية	somali_N
78228	السوتو الجنوبية	sotho_2_N
78344	جنُوب	south_3_N
78369	جنوبي شرقي	southeast_1_N
78402	جنوبي غربي	southwest_1_N
78423	سُوفْيِيتِيّ	soviet_A
78499	إسباني	spanish_N
78616	تكلم	speak_3_V2
79195	مَنْطُوق	spoken_A
79260	رِياضة	sport_1_N
79531	مربع	square_1_A
80047	نشاء	starch_1_N
80154	دوْلة، ولاية	state_4_N
82083	نجح	succeed_V2
82406	السوندانية	sundanese_N
82699	عليا	supreme_2_A
82967	السواحيلية	swahili_N
83029	السواتي	swazi_2_N
83065	السويدية	swedish_N
83224	سويسري	swiss_N
83484	منْظُومة	system_1_N
83487	نِظام	system_4_N
83702	الطاجيكية	tajik_N
83704	تاكا	taka_N
83707	اخذ	take_12_V2
83868	تالة	tala_N
83963	التاميلية	tamil_2_N
83975	سدادة قطنية	tampon_N
84241	التتارية	tatar_N
84296	رسْم	tax_N
84602	التيلجو	telugu_N
84746	تنغى	tenge_1_N
84927	إِرْهابِيّ	terrorist_N
85050	تايلاندي	thai_N
85721	التبتية	tibetan_1_N
85738	تَذْكَرَة	ticket_1_N
86150	التلينغيتية	tlingit_N
86191	تودا	toda_N
86351	تونجا - جزر تونجا	tonga_N
86624	مجموع	total_1_A
87142	انتقالي	transitional_A
87239	وَسِيلَة نَقْل	transport_1_N
88061	التسيمشيان	tsimshian_N
88069	التسوانية	tswana_2_N
88138	توغروغ	tugrik_1_N
88148	لغة تولو	tulu_N
88263	تركية	turkish_N
88264	التركمانية	turkmen_N
88434	توسكارورا	tuscarora_N
88686	الأدمرت	udmurt_N
88703	اوكرانية	ukrainian_N
88761	الأمبندو	umbundu_N
89540	بطالة	unemployment_N
89918	وَحْدَة	unit_3_N
89926	توحيدي	unitary_3_A
91019	الأردية	urdu_N
91196	الأوزبكية	uzbek_N
91518	ضريبَة القيمَة المضافَة	vat_1_N
91707	فيبسية	veps_N
92026	الفيتنامية	vietnamese_2_N
92795	الوالون	walloon_N
93157	ماء	water_1_N
93634	لغة ويلزية	welsh_2_N
93660	غرْب	west_2_N
94387	وينيباكو	winnebago_N
94641	الولوف	wolof_N
94646	إِمْرأة	woman_1_N
94664	ون	won_2_N
94878	عالم	world_1_N
94882	عالم	world_5_N
95179	الخوسا	xhosa_N
95265	سنة	year_1_N
95318	ين	yen_2_N
95347	اليديشية	yiddish_N
95404	اليوروبية	yoruba_N
95441	يُوَان	yuan_N
95482	الزابوتيك	zapotec_N
95529	الزهيونج	zhuang_N
95570	زلوطي	zloty_N
95618	الزولو	zulu_N
