	en_entry	ar	pos	no_en_entry
58	index_2_N	فِهرِس	N	0
61	inhabitant_1_N	سكان	N	0
66	kilometre_1_N	كيلومتر	N	0
67	king_1_N	ملِك	N	0
69	krona_1_N	كرون	N	0
71	language_1_N	لغة	N	0
77	member_4_N	عضو	N	0
83	newspaper_3_N	جريدة	N	0
88	office_4_N	مكتب	N	0
90	politics_2_N	سياسة	N	0
91	population_1_N	سكان	N	0
93	position_6_N	موضع	N	0
94	pound_8_N	جنيه	N	0
95	presidentMasc_3_N	رئيس	N	0
97	product_2_N	منتج	N	0
101	rate_2_N	معدل	N	0
102	rate_4_N	معدل	N	0
105	rental_2_N	تأجير	N	0
107	republic_2_N	جمهورية	N	0
108	reserve_2_N	احتياطي	N	0
116	south_3_N	جنوب	N	0
119	sport_1_N	رياضة	N	0
124	system_1_N	نظام	N	0
128	unit_3_N	وحدة	N	0
136	west_2_N	غرب	N	0
137	woman_1_N	امرأة	N	0
138	world_5_N	عالم	N	0
139	year_1_N	سنة	N	0
3	andersson_9_SN	أنْدِرْسون	SN	0
68	kristersson_5_SN	كِريسْتِرْسون	SN	0
54	have_1_V2	ملك	V2	0
100	rank_2_V2	صنف	V2	0
113	show_2_V2	عرض	V2	0
118	speak_3_V2	تكلم	V2	0
158	reach_V2	وصل	V2	0
20	consider_6_V3	اعتبر	V3	0
2	amount_to_2_V2	وصل إلى	VP	0
