,property_id,entity,entity_count,prop_label
83,P1123,"['Q402', 'Q2225', 'Q2294', 'Q2348', 'Q3198', 'Q3299', 'Q4097', 'Q6732', 'Q6745', 'Q6754', 'Q6763', 'Q6778', 'Q6786', 'Q54389', 'Q102296', 'Q103585', 'Q141160', 'Q533498', 'Q544529', 'Q662269', 'Q840660', 'Q848497', 'Q927316', 'Q932960', 'Q1014081', 'Q1058364', 'Q1138479', 'Q1141329', 'Q1148503', 'Q1151346', 'Q1154826', 'Q1770822', 'Q1875295', 'Q1880449', 'Q1908917', 'Q1909461', 'Q1926858', 'Q1928577', 'Q1929004', 'Q1956685', 'Q1961418', 'Q1985521', 'Q2019992', 'Q2021125', 'Q2031969', 'Q2055815', 'Q2096096', 'Q2128751', 'Q2171387', 'Q2225512', 'Q2236831', 'Q2257946', 'Q2265714', 'Q2309203', 'Q2311880', 'Q2324121', 'Q2359934', 'Q2373354', 'Q2375775', 'Q2380743', 'Q2394372', 'Q2417867', 'Q2437314', 'Q2459552', 'Q2566171', 'Q2567844', 'Q2659502', 'Q2668919', 'Q2681731', 'Q2783861', 'Q2796325', 'Q2801372', 'Q2862844', 'Q2881932', 'Q3010030', 'Q3271953', 'Q3359113', 'Q3410389', 'Q3483871', 'Q3658304', 'Q3658306', 'Q3658308', 'Q4514598', 'Q4595100', 'Q5102949', 'Q5955496', 'Q7205705', 'Q7224133', 'Q10322199', 'Q10322200', 'Q10322201', 'Q12624958', 'Q12624959', 'Q12624961', 'Q12624964', 'Q13099310', 'Q13099317', 'Q13099323', 'Q13430431', 'Q13430432', 'Q13430433', 'Q13430435', 'Q13430436', 'Q13430440', 'Q13465046', 'Q13465047', 'Q13465048', 'Q13465050', 'Q13808814', 'Q14338840', 'Q14435134', 'Q14594500', 'Q14602154', 'Q14639071', 'Q14639231', 'Q14639232', 'Q14646111', 'Q14646117', 'Q14662159', 'Q14662251', 'Q15130917', 'Q15130928', 'Q15130955', 'Q15131362', 'Q15131384', 'Q15131386', 'Q15132376', 'Q15132377', 'Q15132383', 'Q15132384', 'Q15132392', 'Q15132393', 'Q15132405', 'Q15132415', 'Q15132416', 'Q15132417', 'Q15132430', 'Q15132592', 'Q15132594', 'Q15132598', 'Q15132600', 'Q15132606', 'Q15132613', 'Q15132616', 'Q15132621', 'Q15132634', 'Q15135384', 'Q15135395', 'Q15135396', 'Q15135421', 'Q15135439', 'Q15135440', 'Q15135441', 'Q15135581', 'Q15135590', 'Q15135600', 'Q15135607', 'Q15135608', 'Q15135634', 'Q15146156', 'Q15146158', 'Q15146159', 'Q15146160', 'Q15146164', 'Q15146175', 'Q15146180', 'Q15146186', 'Q18844394', 'Q18844395', 'Q18844397', 'Q18844398', 'Q18844399', 'Q18844401', 'Q18844403', 'Q18844404', 'Q18844407', 'Q18844421', 'Q18844423', 'Q18844424', 'Q18844425', 'Q18844426', 'Q18844431', 'Q18844435', 'Q18844436', 'Q18844438', 'Q18844440', 'Q18844442', 'Q18844445', 'Q18844447', 'Q18844448', 'Q18844458', 'Q18844461', 'Q18844463', 'Q18844464', 'Q18844466', 'Q18844477', 'Q18844480', 'Q18844481', 'Q18844482', 'Q18844484', 'Q18844485', 'Q18844486', 'Q18844487', 'Q18844490', 'Q18844492', 'Q18844493', 'Q18844495', 'Q18844496', 'Q18844497', 'Q18844499', 'Q18844501', 'Q18844503', 'Q18844504', 'Q18844505', 'Q18844506', 'Q18844507', 'Q18844508', 'Q18844509', 'Q18844510', 'Q18844512', 'Q18844513', 'Q18844520', 'Q18844521', 'Q18844524', 'Q18844525', 'Q18844526', 'Q18844527', 'Q18844529', 'Q18844535', 'Q18844537', 'Q18844540', 'Q18844541', 'Q18844543', 'Q18844544', 'Q18844545', 'Q18844546', 'Q18844548', 'Q18844549', 'Q18844550', 'Q18844552', 'Q18844554', 'Q18844555', 'Q18844558', 'Q18844559', 'Q18844562', 'Q18844567', 'Q18844569', 'Q18844570', 'Q18844572', 'Q18844573', 'Q18844574', 'Q18844575', 'Q18844577', 'Q18844578', 'Q18844579', 'Q18844582', 'Q18844584', 'Q18844586', 'Q18844590', 'Q18844595', 'Q18844596', 'Q18844597', 'Q18844598', 'Q18844599', 'Q18844600', 'Q18844603', 'Q18844604', 'Q18844605', 'Q18844607', 'Q18844611']",270,parity quantum number
84,P1125,"['Q17', 'Q20', 'Q28', 'Q29', 'Q30', 'Q31', 'Q32', 'Q33', 'Q34', 'Q35', 'Q36', 'Q37', 'Q38', 'Q39', 'Q40', 'Q41', 'Q43', 'Q45', 'Q55', 'Q77', 'Q96', 'Q114', 'Q115', 'Q117', 'Q142', 'Q145', 'Q148', 'Q155', 'Q159', 'Q183', 'Q184', 'Q189', 'Q191', 'Q211', 'Q212', 'Q213', 'Q214', 'Q215', 'Q217', 'Q218', 'Q219', 'Q221', 'Q222', 'Q224', 'Q225', 'Q227', 'Q229', 'Q230', 'Q232', 'Q233', 'Q236', 'Q242', 'Q252', 'Q258', 'Q262', 'Q265', 'Q298', 'Q399', 'Q403', 'Q408', 'Q414', 'Q419', 'Q423', 'Q458', 'Q574', 'Q657', 'Q668', 'Q672', 'Q678', 'Q683', 'Q685', 'Q686', 'Q691', 'Q697', 'Q702', 'Q709', 'Q710', 'Q711', 'Q712', 'Q717', 'Q730', 'Q733', 'Q734', 'Q736', 'Q739', 'Q750', 'Q754', 'Q760', 'Q766', 'Q774', 'Q783', 'Q786', 'Q790', 'Q792', 'Q794', 'Q796', 'Q800', 'Q801', 'Q804', 'Q805', 'Q810', 'Q811', 'Q813', 'Q819', 'Q822', 'Q826', 'Q833', 'Q836', 'Q837', 'Q843', 'Q854', 'Q858', 'Q863', 'Q865', 'Q869', 'Q874', 'Q878', 'Q881', 'Q884', 'Q889', 'Q902', 'Q912', 'Q916', 'Q917', 'Q924', 'Q928', 'Q929', 'Q945', 'Q948', 'Q953', 'Q954', 'Q958', 'Q962', 'Q963', 'Q965', 'Q967', 'Q970', 'Q971', 'Q974', 'Q977', 'Q1000', 'Q1006', 'Q1007', 'Q1008', 'Q1009', 'Q1011', 'Q1013', 'Q1014', 'Q1019', 'Q1020', 'Q1025', 'Q1027', 'Q1028', 'Q1029', 'Q1030', 'Q1032', 'Q1033', 'Q1036', 'Q1037', 'Q1039', 'Q1041', 'Q1042', 'Q1044', 'Q1045', 'Q1049', 'Q1050', 'Q1246', 'Q6256', 'Q8046', 'Q111740', 'Q162455', 'Q2354571', 'Q2916856', 'Q79', 'Q16', 'Q62809516']",176,Gini coefficient
85,P1126,"['Q2294', 'Q2348', 'Q4097', 'Q103517', 'Q107575', 'Q156530', 'Q424078', 'Q424117', 'Q488719', 'Q503527', 'Q795131', 'Q836938', 'Q843503', 'Q902715', 'Q1043968']",15,isospin quantum number
86,P1127,"['Q2294', 'Q4097', 'Q103517', 'Q107575', 'Q156530', 'Q424078', 'Q424117', 'Q488719', 'Q503527', 'Q843503', 'Q902715', 'Q1043968']",12,isospin z-component
89,P113,"['Q1243', 'Q4548', 'Q8681', 'Q8766', 'Q8782', 'Q9325', 'Q24780', 'Q32141', 'Q32245', 'Q32277', 'Q32396', 'Q32436', 'Q32491', 'Q46970', 'Q51747', 'Q51756', 'Q58707', 'Q69906', 'Q71988', 'Q73986', 'Q83535', 'Q83716', 'Q116595', 'Q117766', 'Q127529', 'Q131005', 'Q141146', 'Q147208', 'Q151174', 'Q151581', 'Q152425', 'Q153571', 'Q153975', 'Q155038', 'Q156776', 'Q156829', 'Q157205', 'Q161086', 'Q166300', 'Q167721', 'Q168836', 'Q170159', 'Q170614', 'Q174386', 'Q174769', 'Q178964', 'Q179118', 'Q179879', 'Q180432', 'Q180562', 'Q181912', 'Q185339', 'Q187854', 'Q187972', 'Q188710', 'Q188920', 'Q191551', 'Q192459', 'Q192653', 'Q196221', 'Q201821', 'Q204122', 'Q204268', 'Q204284', 'Q204296', 'Q204887', 'Q208033', 'Q208046', 'Q208232', 'Q208489', 'Q211165', 'Q212304', 'Q212703', 'Q213140', 'Q213147', 'Q214675', 'Q215392', 'Q216486', 'Q216645', 'Q221604', 'Q223191', 'Q223763', 'Q225988', 'Q240656', 'Q245233', 'Q247974', 'Q253858', 'Q256496', 'Q257502', 'Q260807', 'Q265138', 'Q281710', 'Q283790', 'Q284748', 'Q290162', 'Q291090', 'Q291796', 'Q291944', 'Q292428', 'Q294680', 'Q300924', 'Q302642', 'Q308911', 'Q308952', 'Q308974', 'Q309174', 'Q310107', 'Q312517', 'Q326794', 'Q332980', 'Q333679', 'Q334931', 'Q335147', 'Q371306', 'Q374740', 'Q380580', 'Q381324', 'Q381474', 'Q381563', 'Q381779', 'Q383707', 'Q384068', 'Q387901', 'Q392542', 'Q392864', 'Q406632', 'Q406643', 'Q406695', 'Q406764', 'Q406794', 'Q406803', 'Q406828', 'Q406847', 'Q406896', 'Q406928', 'Q407054', 'Q407108', 'Q407292', 'Q407294', 'Q407311', 'Q407385', 'Q407399', 'Q407430', 'Q407478', 'Q407497', 'Q407498', 'Q407556', 'Q407576', 'Q407606', 'Q407611', 'Q407624', 'Q407694', 'Q407708', 'Q407719', 'Q407725', 'Q407783', 'Q407817', 'Q407842', 'Q407869', 'Q407920', 'Q408408', 'Q408655', 'Q408831', 'Q421811', 'Q460373', 'Q461631', 'Q463157', 'Q473231', 'Q476681', 'Q483281', 'Q483676', 'Q503308', 'Q508417', 'Q509920', 'Q512468', 'Q515607', 'Q520869', 'Q526550', 'Q527341', 'Q536368', 'Q541179', 'Q543645', 'Q546493', 'Q553915', 'Q558002', 'Q564717', 'Q573915', 'Q581161', 'Q581297', 'Q582279', 'Q588909', 'Q596549', 'Q597485', 'Q606738', 'Q609818', 'Q610003', 'Q611742', 'Q616935', 'Q617584', 'Q619089', 'Q623661', 'Q627115', 'Q628658', 'Q630591', 'Q637066', 'Q638900', 'Q642610', 'Q645084', 'Q646741', 'Q648845', 'Q649178', 'Q651491', 'Q654636', 'Q654953', 'Q660986', 'Q662091', 'Q664721', 'Q673852', 'Q677606', 'Q685418', 'Q685605', 'Q690789', 'Q692811', 'Q694098', 'Q699514', 'Q699945', 'Q702435', 'Q715113', 'Q721994', 'Q726813', 'Q727066', 'Q727074', 'Q727452', 'Q727769', 'Q731312', 'Q736852', 'Q740844', 'Q744935', 'Q745971', 'Q746174', 'Q750374', 'Q756172', 'Q757135', 'Q757153', 'Q757295', 'Q763478', 'Q765297', 'Q767627', 'Q777034', 'Q781770', 'Q782557', 'Q794272', 'Q794427', 'Q794959', 'Q796158', 'Q803632', 'Q804417', 'Q804951', 'Q806487', 'Q810738', 'Q815314', 'Q815842', 'Q822130', 'Q822614', 'Q824225', 'Q836560', 'Q840402', 'Q842353', 'Q846885', 'Q846910', 'Q846922', 'Q849404', 'Q849910', 'Q853293', 'Q853878', 'Q859245', 'Q859510', 'Q860379', 'Q860389', 'Q860601', 'Q861197', 'Q863432', 'Q864087', 'Q864117', 'Q865858', 'Q866103', 'Q866289', 'Q899774', 'Q900951', 'Q909076', 'Q909560', 'Q918817', 'Q919252', 'Q929793', 'Q934983', 'Q935837', 'Q943813', 'Q954747', 'Q957305', 'Q974899', 'Q977140', 'Q978831', 'Q986941', 'Q995151', 'Q1028235', 'Q1028575', 'Q1035195', 'Q1036100', 'Q1048495', 'Q1050518', 'Q1050783', 'Q1056794', 'Q1056939', 'Q1057110', 'Q1060465', 'Q1064048', 'Q1065088', 'Q1066031', 'Q1068909', 'Q1073234', 'Q1073273', 'Q1073368', 'Q1073481', 'Q1090978', 'Q1093383', 'Q1094344', 'Q1100424', 'Q1137136', 'Q1138118', 'Q1138803', 'Q1139145', 'Q1139445', 'Q1139541', 'Q1145155', 'Q1147012', 'Q1148568', 'Q1149762', 'Q1150302', 'Q1150325', 'Q1153602', 'Q1156082', 'Q1156479', 'Q1156859', 'Q1188319', 'Q1188990', 'Q1189080', 'Q1189310', 'Q1189646', 'Q1203441', 'Q1204544', 'Q1205109', 'Q1232194', 'Q1249970', 'Q1278136', 'Q1317487', 'Q1318737', 'Q1319103', 'Q1319117', 'Q1319130', 'Q1319224', 'Q1319404', 'Q1319601', 'Q1319923', 'Q1319996', 'Q1320817', 'Q1321143', 'Q1336342', 'Q1336559', 'Q1340408', 'Q1340479', 'Q1347762', 'Q1348402', 'Q1350144', 'Q1355503', 'Q1357061', 'Q1365358', 'Q1366724', 'Q1367831', 'Q1368249', 'Q1368443', 'Q1376268', 'Q1419271', 'Q1427299', 'Q1434496', 'Q1478590', 'Q1485461', 'Q1517108', 'Q1536988', 'Q1547155', 'Q1548886', 'Q1554282', 'Q1572717', 'Q1613226', 'Q1660297', 'Q1691909', 'Q1713277', 'Q1726112', 'Q1750338', 'Q1754153', 'Q1783588', 'Q1807298', 'Q1816550', 'Q1853488', 'Q1873733', 'Q1931750', 'Q1932859', 'Q1952443', 'Q1962272', 'Q1982661', 'Q2021591', 'Q2042940', 'Q2222528', 'Q2247269', 'Q2285229', 'Q2305160', 'Q2399163', 'Q2448822', 'Q2477340', 'Q2496162', 'Q2545937', 'Q2603232', 'Q2736076', 'Q2812546', 'Q2819046', 'Q2841664', 'Q2895040', 'Q2896748', 'Q2915439', 'Q3040537', 'Q3094934', 'Q3179610', 'Q3196022', 'Q3260360', 'Q3270934', 'Q3270980', 'Q3358922', 'Q3377571', 'Q3445865', 'Q3496564', 'Q3508987', 'Q3512020', 'Q3559186', 'Q3852483', 'Q4115026', 'Q4115708', 'Q4118246', 'Q4204676', 'Q4670122', 'Q4689607', 'Q4697763', 'Q4697804', 'Q4704932', 'Q4811588', 'Q4822322', 'Q4845484', 'Q5009945', 'Q5310603', 'Q5930028', 'Q5977169', 'Q6276639', 'Q6362271', 'Q6461995', 'Q6510840', 'Q6743729', 'Q7267100', 'Q7308074', 'Q7374357', 'Q7537187', 'Q7656104', 'Q7685690', 'Q7853131', 'Q8052566', 'Q15670994', 'Q17502128', 'Q18349505', 'Q20020797', 'Q20181105', 'Q20824309', 'Q20857830', 'Q21806375', 'Q22079859', 'Q27926620', 'Q28056940', 'Q28220917', 'Q28496959', 'Q30344196', 'Q47009940', 'Q49547426', 'Q51779763', 'Q55392042', 'Q56282488', 'Q60521096', 'Q74705406', 'Q105274727', 'Q106728851', 'Q108251249', 'Q110369372']",497,airline hub
91,P1135,"['Q8314', 'Q14080', 'Q14560', 'Q19744', 'Q21037', 'Q25308', 'Q25400', 'Q25995', 'Q26220', 'Q26538', 'Q26568', 'Q27147', 'Q27657', 'Q36050', 'Q37021', 'Q39918', 'Q41387', 'Q43238', 'Q44002', 'Q44448', 'Q46299', 'Q48227', 'Q53473', 'Q53475', 'Q53476', 'Q53477', 'Q53480', 'Q80174', 'Q120228', 'Q122844', 'Q130948', 'Q131027', 'Q131260', 'Q131280', 'Q131291', 'Q131310', 'Q131345', 'Q131353', 'Q131362', 'Q131363', 'Q131417', 'Q131421', 'Q131501', 'Q131509', 'Q131613', 'Q131661', 'Q131743', 'Q131754', 'Q131764', 'Q131978', 'Q131988', 'Q132048', 'Q132064', 'Q132225', 'Q132429', 'Q132615', 'Q132658', 'Q132799', 'Q132989', 'Q133008', 'Q133017', 'Q133206', 'Q133208', 'Q133266', 'Q133316', 'Q133319', 'Q133353', 'Q133778', 'Q134172', 'Q134352', 'Q134660', 'Q134748', 'Q135336', 'Q137392', 'Q141353', 'Q142788', 'Q144259', 'Q144319', 'Q144723', 'Q145777', 'Q145794', 'Q145869', 'Q145977', 'Q146030', 'Q146037', 'Q147867', 'Q148479', 'Q148650', 'Q148710', 'Q148821', 'Q150137', 'Q150302', 'Q150572', 'Q155802', 'Q155843', 'Q155848', 'Q155931', 'Q155938', 'Q155941', 'Q155945', 'Q155949', 'Q155966', 'Q155982', 'Q156022', 'Q156025', 'Q156029', 'Q156060', 'Q156064', 'Q156083', 'Q156109', 'Q156117', 'Q156141', 'Q156169', 'Q156179', 'Q156185', 'Q156192', 'Q156219', 'Q156227', 'Q156233', 'Q156282', 'Q156301', 'Q156311', 'Q156326', 'Q156332', 'Q156338', 'Q156360', 'Q156369', 'Q156446', 'Q156522', 'Q156525', 'Q156529', 'Q156544', 'Q156551', 'Q156569', 'Q156574', 'Q156579', 'Q156584', 'Q156589', 'Q156609', 'Q156665', 'Q156669', 'Q156673', 'Q156674', 'Q156677', 'Q156679', 'Q156680', 'Q156682', 'Q156686', 'Q156691', 'Q156888', 'Q156960', 'Q156981', 'Q157019', 'Q157072', 'Q157115', 'Q157160', 'Q157167', 'Q157168', 'Q157173', 'Q157216', 'Q157228', 'Q157231', 'Q157234', 'Q157237', 'Q157386', 'Q157454', 'Q157524', 'Q157614', 'Q157881', 'Q158185', 'Q158487', 'Q158492', 'Q158657', 'Q158979', 'Q158981', 'Q159023', 'Q159038', 'Q159448', 'Q159544', 'Q160012', 'Q160013', 'Q160107', 'Q160118', 'Q160580', 'Q161146', 'Q161177', 'Q161185', 'Q161187', 'Q161189', 'Q161214', 'Q161220', 'Q161237', 'Q161239', 'Q161244', 'Q161260', 'Q161261', 'Q161403', 'Q161577', 'Q161855', 'Q161929', 'Q161952', 'Q162141', 'Q163517', 'Q171425', 'Q173756', 'Q178286', 'Q185239', 'Q186181', 'Q193335', 'Q213453', 'Q213938', 'Q216113', 'Q217697', 'Q218221', 'Q220025', 'Q223751', 'Q282324', 'Q306495', 'Q309497', 'Q309498', 'Q310459', 'Q310748', 'Q311670', 'Q311790', 'Q312160', 'Q312238', 'Q327639', 'Q368623', 'Q379743', 'Q380136', 'Q390456', 'Q464561', 'Q474620', 'Q503296', 'Q521874', 'Q547938', 'Q564650', 'Q580060', 'Q580593', 'Q588797', 'Q599518', 'Q602296', 'Q608099', 'Q610836', 'Q614604', 'Q629836', 'Q630285', 'Q632563', 'Q648380', 'Q651360', 'Q651518', 'Q656683', 'Q660752', 'Q674593', 'Q687050', 'Q719028', 'Q725748', 'Q736182', 'Q740873', 'Q748899', 'Q749412', 'Q749826', 'Q756019', 'Q794756', 'Q830142', 'Q834427', 'Q840758', 'Q843349', 'Q843892', 'Q849471', 'Q855116', 'Q862089', 'Q862544', 'Q865061', 'Q867622', 'Q877464', 'Q945741', 'Q959222', 'Q964455', 'Q975872', 'Q1045795', 'Q1051993', 'Q1061384', 'Q1068569', 'Q1090886', 'Q1109330', 'Q1191725', 'Q1209796', 'Q1303743', 'Q1305502', 'Q1318310', 'Q1335106', 'Q1425126', 'Q1450881', 'Q1543189', 'Q1549736', 'Q1748235', 'Q1753622', 'Q1860100', 'Q1874920', 'Q1878350', 'Q1922381', 'Q1929656', 'Q1936810', 'Q1938278', 'Q2006755', 'Q2056554', 'Q2070362', 'Q2070670', 'Q2097845', 'Q2119178', 'Q2154543', 'Q2338324', 'Q2367288', 'Q2464993', 'Q2467124', 'Q2491168', 'Q2493931', 'Q2543932', 'Q2586432', 'Q2593152', 'Q2603825', 'Q2628740', 'Q2630851', 'Q2669468', 'Q2700772', 'Q2704296', 'Q2708136', 'Q2721029', 'Q3144255', 'Q3282257', 'Q3335408', 'Q3353348', 'Q3643058', 'Q3754896', 'Q3966621', 'Q4115140', 'Q4791038', 'Q5196217', 'Q5219581', 'Q5571161', 'Q5607347', 'Q5656070', 'Q5986917', 'Q6502575', 'Q6930198', 'Q7840756', 'Q10376735', 'Q10460315', 'Q11158661', 'Q11773804', 'Q12202795', 'Q12217890', 'Q12231409', 'Q12669895', 'Q13141601', 'Q13827308', 'Q13872246', 'Q14293890', 'Q14554991', 'Q14782622', 'Q14554941', 'Q14937849', 'Q15487635', 'Q15587134', 'Q5733299', 'Q18438994', 'Q18507163', 'Q18674606', 'Q64402156']",370,nomenclatural status
92,P1136,"['Q33100', 'Q41719', 'Q83213', 'Q132469', 'Q193910', 'Q207952', 'Q208416', 'Q338886', 'Q377276', 'Q516403', 'Q681406', 'Q746242', 'Q810431', 'Q838094', 'Q845088', 'Q852206', 'Q922012', 'Q978688', 'Q986147', 'Q1423818', 'Q1694565', 'Q2584447', 'Q2703389', 'Q60614789']",24,solved by
94,P1139,"['Q5471', 'Q9188', 'Q11245', 'Q11303', 'Q12495', 'Q18536', 'Q18547', 'Q22968', 'Q29294', 'Q41176', 'Q57900', 'Q62939', 'Q80813', 'Q80852', 'Q83101', 'Q91274', 'Q137245', 'Q143235', 'Q151765', 'Q166882', 'Q167195', 'Q168400', 'Q168575', 'Q214855', 'Q233940', 'Q249319', 'Q270066', 'Q323767', 'Q328505', 'Q382121', 'Q401098', 'Q489926', 'Q494895', 'Q496950', 'Q526963', 'Q546221', 'Q596867', 'Q646339', 'Q677823', 'Q700058', 'Q708060', 'Q737945', 'Q743683', 'Q805741', 'Q831691', 'Q838780', 'Q868772', 'Q884122', 'Q910101', 'Q920809', 'Q922211', 'Q941908', 'Q953610', 'Q966225', 'Q1068063', 'Q1076144', 'Q1077308', 'Q1093913', 'Q1127212', 'Q1134387', 'Q1351208', 'Q1371570', 'Q1436004', 'Q1541365', 'Q1542408', 'Q1640197', 'Q1808317', 'Q1822210', 'Q1835562', 'Q1985903', 'Q2090752', 'Q2155353', 'Q2276983', 'Q2423937', 'Q2472804', 'Q2627336', 'Q2746748', 'Q2878337', 'Q2884587', 'Q3073495', 'Q3114903', 'Q3751971', 'Q4704024', 'Q5270933', 'Q5369554', 'Q5613632', 'Q6150080', 'Q6816462', 'Q6960571', 'Q7093003', 'Q7969454', 'Q10939987', 'Q11102554', 'Q12197855', 'Q12238563', 'Q13892708', 'Q14530911', 'Q14862239', 'Q15264124', 'Q15264266', 'Q15707433', 'Q15790479', 'Q20679735', 'Q20990045', 'Q21011003', 'Q22041180', 'Q23002011', 'Q25212535', 'Q28657490', 'Q28685888', 'Q28791021', 'Q29933944', 'Q30753889', 'Q32361114', 'Q111904760']",115,floors below ground
95,P114,"['Q4548', 'Q8766', 'Q9322', 'Q9325', 'Q32141', 'Q32245', 'Q32396', 'Q32436', 'Q32491', 'Q46970', 'Q51747', 'Q51756', 'Q58707', 'Q69906', 'Q83535', 'Q131005', 'Q147208', 'Q153571', 'Q153975', 'Q155038', 'Q156776', 'Q156829', 'Q157205', 'Q168836', 'Q170159', 'Q174386', 'Q174769', 'Q180562', 'Q181912', 'Q185339', 'Q187854', 'Q187972', 'Q188710', 'Q188920', 'Q192653', 'Q201821', 'Q204122', 'Q204268', 'Q204284', 'Q204296', 'Q208033', 'Q208046', 'Q208232', 'Q211165', 'Q213140', 'Q213147', 'Q214675', 'Q216486', 'Q223191', 'Q223763', 'Q240656', 'Q245233', 'Q253858', 'Q291796', 'Q295624', 'Q308911', 'Q308952', 'Q308974', 'Q309174', 'Q332980', 'Q371306', 'Q374740', 'Q380580', 'Q381563', 'Q381779', 'Q406798', 'Q406847', 'Q406928', 'Q407237', 'Q407498', 'Q407556', 'Q407694', 'Q407719', 'Q407783', 'Q408408', 'Q408831', 'Q460373', 'Q465909', 'Q483281', 'Q508417', 'Q512468', 'Q520869', 'Q526550', 'Q527341', 'Q541179', 'Q627115', 'Q638900', 'Q662050', 'Q688359', 'Q694098', 'Q715113', 'Q721994', 'Q740844', 'Q777034', 'Q781770', 'Q822614', 'Q824225', 'Q836560', 'Q846922', 'Q849404', 'Q853293', 'Q859510', 'Q861197', 'Q865858', 'Q957305', 'Q974899', 'Q995151', 'Q1028575', 'Q1065088', 'Q1073234', 'Q1139145', 'Q1150302', 'Q1199780', 'Q1319130', 'Q1319224', 'Q1320817', 'Q1321143', 'Q1347762', 'Q1365358', 'Q1367831', 'Q1536988', 'Q1713277', 'Q1807298', 'Q1816550', 'Q1873733', 'Q1932859', 'Q3512020', 'Q15670994', 'Q18028989', 'Q27927817', 'Q63818842', 'Q108251249']",132,airline alliance
96,P1141,"['Q5300', 'Q8079', 'Q12253', 'Q40078', 'Q44070', 'Q49046', 'Q56942', 'Q83382', 'Q182172', 'Q183012', 'Q200912', 'Q213423', 'Q216334', 'Q221257', 'Q308871', 'Q420764', 'Q420767', 'Q420922', 'Q555032', 'Q560347', 'Q591707', 'Q628189', 'Q749081', 'Q818756', 'Q1277662', 'Q1466064', 'Q1537784', 'Q2844656', 'Q3715624', 'Q3925176', 'Q5204888', 'Q7800177', 'Q13361286', 'Q14201462', 'Q14887104', 'Q15637095', 'Q18941713', 'Q19610114', 'Q19865879', 'Q21094865', 'Q21127687', 'Q22073261', 'Q24702533', 'Q25407655', 'Q39509243', 'Q60199034', 'Q63184502', 'Q64008087', 'Q64513817', 'Q67221827']",50,number of processor cores
