	en_entry	ar	pos	no_en_entry
83	västerbotten_county_5_LN	مقاطعة فاستربوتن	LN	0
84	västernorrland_county_3_LN	مقاطعة غرب نورلاند	LN	0
85	västmanland_county_3_LN	مقاطعة فاستمانلاند	LN	0
86	västra_götaland_county_8_LN	مقاطعة فاسترا يوتالاند	LN	0
87	örebro_county_6_LN	مقاطعة أوريبرو	LN	0
88	östergötland_county_6_LN	مقاطعة أوسترجوتلاند	LN	0
148	andersson_9_SN	أنْدِرْسون	SN	0
149	kristersson_5_SN	كِريسْتِرْسون	SN	0
212	alberta_LN	ألبرتا	LN	0
217	british_columbia_LN	كولومبيا البريطانية	LN	0
218	canada_LN	كندا	LN	0
219	carl_GN	كارل	GN	0
221	charles_GN	تشارلز	GN	0
230	denmark_LN	الدنمارك	LN	0
232	elizabeth_GN	إليزابيث	GN	0
234	estonia_LN	استونيا	LN	0
237	european_union_NP	الاتحاد الأوروبي	NP	0
239	finland_LN	فنلندا	LN	0
241	gaza_strip_LN	قطاع غزة	LN	0
242	germany_LN	ألمانيا	LN	0
243	greenland_LN	جرينلاند	LN	0
245	harper_8_SN	هاربر	SN	0
249	interpol_PN	الشرطة الدولية	PN	0
250	justin_GN	جاستن	GN	0
251	kafr_el-sheikh_governorate_6_LN	محافظة كفر الشيخ	LN	0
252	latvia_LN	لاتفيا	LN	0
253	libya_LN	ليبيا	LN	0
262	lithuania_LN	ليتوانيا	LN	0
263	manitoba_LN	مانيتوبا	LN	0
264	middle_east_LN	الشرق الأوسط	LN	0
266	nato_PN	حلف الناتو	PN	0
267	new_brunswick_1_LN	نيو برونزويك	LN	0
268	newfoundland_and_labrador_LN	نيوفاوندلاند ولابرادور	LN	0
269	north_africa_LN	شمال أفريقيا	LN	0
270	north_america_1_LN	أمريكا الشمالية	LN	0
271	northwest_territories_LN	الاقاليم الشمالية الغربية	LN	0
272	norway_LN	النرويج	LN	0
273	nova_scotia_1_LN	نفوفا سكوشيا	LN	0
274	nunavut_LN	نونافوت	LN	0
277	ontario_2_LN	أونتاريو	LN	0
278	oscar_GN	أوسكار	GN	0
279	ottawa_3_LN	أوتاوا	LN	0
284	poland_LN	بولندا	LN	0
285	prince_edward_island_LN	جزيرة الأمير ادوارد	LN	0
286	quebec_2_LN	كيبيك	LN	0
287	saint_pierre_and_miquelon_1_LN	سان بيير وميكلون	LN	0
288	saskatchewan_LN	ساسكاتشوان	LN	0
289	stephen_GN	ستيفن	GN	0
290	stockholm_LN	ستوكهولم	LN	0
291	sweden_LN	السويد	LN	0
295	toronto_LN	تورنتو	LN	0
296	trudeau_6_SN	ترودو	SN	0
300	unesco_PN	اليونسكو	PN	0
301	united_states_LN	الولايات المتحدة	LN	0
302	windsor_2_SN	وندسور	SN	0
304	yukon_2_LN	يوكون	LN	0
305	abd_al-fattāḥ_2_GN	عبد الفتاح GN	0
